alu_id,opcode,a,b,a_hw,b_hw,y_toggles
0,11,11913,11535,7,8,10
0,0,26708,12475,6,8,7
0,3,43799,40751,9,11,3
0,11,43820,12412,8,7,5
0,1,4081,12006,9,9,5
0,12,57445,57428,7,6,9
0,0,60525,18163,10,9,8
0,0,6908,22911,9,11,8
0,9,55155,7274,11,7,8
0,5,5125,30126,4,10,4
0,7,31387,22509,10,11,13
0,15,54251,59519,11,11,6
0,15,48686,41205,10,8,10
0,7,19011,25431,6,9,5
0,1,59888,21297,9,7,11
0,10,63177,46057,10,10,10
0,15,47130,6557,7,8,4
0,7,33512,57101,6,10,9
0,2,35702,33225,9,6,12
0,7,26847,20206,10,10,11
0,6,30376,44258,8,8,7
0,14,34608,57074,6,11,7
0,11,29348,58404,7,6,11
0,1,52527,3126,10,6,8
0,15,28326,16006,9,8,10
0,3,54659,4217,8,6,8
0,6,31172,15968,8,7,9
0,15,34693,515,7,3,4
0,6,54588,29772,9,7,8
0,11,46135,61300,9,11,9
0,1,11720,6135,7,11,7
0,9,48432,1269,8,7,7
0,11,40316,45553,10,9,8
0,0,10474,43804,7,8,6
0,0,58798,45269,10,8,5
0,12,20630,42522,6,7,10
0,0,31588,5662,9,7,8
0,9,63335,13961,12,7,8
0,1,46358,3931,8,9,7
0,1,59516,14956,9,8,8
0,2,58040,36264,8,7,5
0,3,41152,19326,4,10,12
0,2,28992,62564,5,8,8
0,15,59201,55645,8,10,12
0,15,2469,46547,6,10,4
0,11,27775,22511,11,12,12
0,2,44296,59843,6,9,10
0,7,28632,20915,10,8,10
0,0,56971,62964,10,11,10
0,12,23447,36908,10,5,10
0,4,48155,11090,9,7,7
0,0,26566,15168,9,6,8
0,11,7643,27687,10,8,6
0,7,13316,60696,4,8,0
0,1,45820,50187,10,6,11
0,9,28907,59304,9,9,7
0,8,12918,1652,8,6,8
0,11,31156,8012,9,8,2
0,11,26381,29759,8,10,2
0,6,62313,27628,10,10,6
0,1,22117,24857,8,6,9
0,14,28338,39844,9,8,3
0,14,26940,50546,8,8,6
0,6,3937,39873,7,8,10
0,2,32105,57938,10,7,8
